"","ip","risco"
"1","5348","Risco Alto"
"2","5314","Risco Alto"
"3","73487","Risco Alto"
"4","73516","Risco Alto"
"5","53454","Risco Alto"
"6","114276","Risco Alto"
"7","26995","Risco Alto"
"8","95766","Risco Alto"
"9","17149","Risco Alto"
"10","100275","Risco Alto"
"11","105475","Risco Alto"
"12","105560","Risco Alto"
"13","111025","Risco Alto"
"14","43793","Risco Alto"
"15","86767","Risco Alto"
"16","137052","Risco Alto"
"17","5178","Risco Alto"
"18","49602","Risco Alto"
"19","48170","Risco Alto"
"20","48282","Risco Alto"
"21","5147","Risco Alto"
"22","201182","Risco Alto"
"23","45745","Risco Alto"
"24","209663","Risco Alto"
"25","114220","Risco Alto"
"26","48240","Risco Alto"
"27","44744","Risco Alto"
"28","119289","Risco Alto"
"29","84896","Risco Alto"
"30","119349","Risco Alto"
"31","53964","Risco Alto"
"32","48212","Risco Alto"
"33","93587","Risco Alto"
"34","79909","Risco Alto"
"35","119369","Risco Alto"
"36","123994","Risco Alto"
"37","125222","Risco Alto"
"38","77048","Risco Alto"
"39","43827","Risco Alto"
"40","79827","Risco Alto"
"41","79857","Risco Alto"
"42","92766","Risco Alto"
"43","119531","Risco Alto"
"44","92735","Risco Alto"
"45","53715","Risco Alto"
"46","75595","Risco Alto"
"47","93054","Risco Alto"
"48","44725","Risco Alto"
"49","114314","Risco Alto"
"50","93021","Risco Alto"
"51","44067","Risco Alto"
"52","88281","Risco Alto"
"53","75634","Risco Alto"
"54","79881","Risco Alto"
"55","114235","Risco Alto"
"56","175837","Risco Alto"
"57","43855","Risco Alto"
"58","95820","Risco Alto"
"59","8718","Risco Alto"
"60","108341","Risco Alto"
"61","138561","Risco Alto"
"62","4019","Risco Alto"
"63","100182","Risco Alto"
"64","108913","Risco Alto"
"65","36183","Risco Alto"
"66","36150","Risco Alto"
"67","37515","Risco Alto"
"68","3994","Risco Alto"
"69","100393","Risco Alto"
"70","112302","Risco Alto"
"71","3964","Risco Alto"
